epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.5433,1.79985,42.1981,1.35119,0,0,0,0,0,0,437.094,0,0.00052,0.00052,0.00052
1,27.1223,1.79985,42.1981,1.35119,0,0,0,0,0,0,437.094,0,0.00052,0.00052,0.00052
1,23.798,1.2813,12.1696,0.88397,0,0,0,0,0,nan,nan,nan,0.000654321,0.000654321,0.000654321
2,50.6844,1.17664,10.7068,0.86903,0.00392,0.04348,0.00162,0.00013,0.0005,1.38203,97.4033,1.20217,0.00129483,0.00129483,0.00129483
3,75.2189,1.65196,6.59881,1.24304,0.00392,0.04348,0.00162,0.00013,0.0005,nan,nan,nan,0.00190894,0.00190894,0.00190894
4,100.046,1.48668,3.34745,1.02464,0.00392,0.04348,0.00162,0.00013,0.0005,nan,nan,nan,0.0018812,0.0018812,0.0018812
5,124.69,1.65937,8.17698,1.30066,0.00392,0.04348,0.00162,0.00013,0.0005,nan,nan,nan,0.0018416,0.0018416,0.0018416
6,151.967,1.92116,76.5631,1.39856,0.00011,0.13043,6e-05,0,1e-05,2.61371,inf,5.24236,0.001802,0.001802,0.001802
7,180.049,1.33863,81.5747,0.93975,0.00343,0.04348,0.00049,0,7e-05,2.03534,139.5,1.55816,0.0017624,0.0017624,0.0017624
8,207.561,2.00097,26.4834,1.46537,0.00343,0.04348,0.00049,0,7e-05,2.84967,inf,22.4716,0.0017228,0.0017228,0.0017228
9,234.106,1.63764,2.68148,1.17351,0.00343,0.04348,0.00049,0,7e-05,nan,nan,nan,0.0016832,0.0016832,0.0016832
10,257.902,1.77427,2.98197,1.33541,0.00343,0.04348,0.00049,0,7e-05,1.71611,2.521,1.42304,0.0016436,0.0016436,0.0016436
11,284.637,1.79082,2.58276,1.18515,0.00343,0.04348,0.00049,0,7e-05,1.59631,3.09585,2.27202,0.001604,0.001604,0.001604
12,309.671,1.57441,3.25345,1.14022,0.00343,0.04348,0.00049,0,7e-05,0.05846,0.56532,0.06793,0.0015644,0.0015644,0.0015644
13,335.306,1.60841,2.59229,1.07491,0.0006,0.26087,0.00187,0,0.00042,1.36986,2.74671,1.64086,0.0015248,0.0015248,0.0015248
14,359.525,1.58198,2.48165,1.13667,0.00379,0.56522,0.01109,0.00119,0.00316,1.30931,2.01635,1.01803,0.0014852,0.0014852,0.0014852
15,385.308,1.5777,2.04758,1.08656,0.00071,0.3913,0.0668,0.01803,0.03586,1.17709,3.14559,0.96997,0.0014456,0.0014456,0.0014456
16,413.339,1.53353,2.00232,1.16694,0.00077,0.30435,0.00705,0.00245,0.00283,1.3922,3.47847,1.04911,0.001406,0.001406,0.001406
17,440.461,1.32313,1.80436,0.97716,0.13286,0.21739,0.05145,5e-05,0.01445,1.59268,63.2071,1.83552,0.0013664,0.0013664,0.0013664
18,469.261,1.53044,2.23337,1.09356,0.00441,0.82609,0.06986,0.0215,0.02959,1.11201,1.63312,0.94212,0.0013268,0.0013268,0.0013268
19,493.166,1.38765,1.98449,0.99355,0.0104,0.73913,0.02972,0.00232,0.0079,1.18182,1.75725,0.99943,0.0012872,0.0012872,0.0012872
20,519.576,1.04085,1.47024,0.69135,0.01467,0.73913,0.07742,0.00401,0.02053,1.20487,2.59545,1.02407,0.0012476,0.0012476,0.0012476
21,545.772,1.1829,1.58359,0.85907,0.01322,0.6087,0.02587,0.00538,0.01077,1.2927,1.8514,1.0385,0.001208,0.001208,0.001208
22,571.159,0.92565,1.34286,0.69083,0.00331,0.73913,0.08424,0.00274,0.02596,1.58855,1.8606,1.41773,0.0011684,0.0011684,0.0011684
23,595.923,1.29835,1.67103,0.85135,0.00662,0.73913,0.11846,0.01235,0.04586,1.21204,2.61679,1.09112,0.0011288,0.0011288,0.0011288
24,620.47,1.09766,1.59813,0.80938,0.12038,0.26087,0.13241,0.03606,0.0545,1.09681,4.40467,1.01235,0.0010892,0.0010892,0.0010892
25,650.176,1.44172,1.6676,1.05973,0.16383,0.3493,0.17196,0.06045,0.07638,1.09588,3.65959,1.00411,0.0010496,0.0010496,0.0010496
26,679.654,1.71743,1.93971,1.20759,0.00398,0.95652,0.1943,0.0446,0.08598,1.05893,1.60516,0.91253,0.00101,0.00101,0.00101
27,708.555,1.04209,1.35349,0.77422,0.05001,0.91304,0.27116,0.08834,0.11505,1.0532,1.26484,0.88612,0.0009704,0.0009704,0.0009704
28,733.095,1.40135,1.62168,1.05214,0.15069,0.65217,0.33478,0.06146,0.11869,1.06484,1.19083,0.88922,0.0009308,0.0009308,0.0009308
29,758.816,0.9089,1.02202,0.63892,0.19999,0.26087,0.20254,0.03249,0.06152,1.20167,1.43659,0.99551,0.0008912,0.0008912,0.0008912
30,783.805,1.05606,1.28188,0.82462,0.4064,0.3913,0.31391,0.04787,0.11305,1.04024,1.61744,0.90575,0.0008516,0.0008516,0.0008516
31,807.999,1.03471,1.32343,0.73078,0.38916,0.47826,0.32175,0.06224,0.12437,1.03687,1.11367,0.91152,0.000812,0.000812,0.000812
32,832.963,1.07845,1.20071,0.85,0.43293,0.39859,0.40024,0.07625,0.16081,1.00404,1.14915,0.887,0.0007724,0.0007724,0.0007724
33,857.379,1.07676,1.21406,0.81044,0.40615,0.52174,0.50037,0.15249,0.19854,0.98408,0.96431,0.85485,0.0007328,0.0007328,0.0007328
34,886.909,0.92407,1.03932,0.69332,0.27469,0.47826,0.3652,0.18129,0.18004,1.0342,1.48406,0.91572,0.0006932,0.0006932,0.0006932
35,915.776,0.99072,1.07085,0.79732,0.61254,0.30435,0.42487,0.14792,0.20156,1.02828,1.18505,0.89424,0.0006536,0.0006536,0.0006536
36,944.348,1.11052,1.04081,0.83073,0.58563,0.56522,0.58654,0.055,0.22188,0.96832,7.85947,0.86695,0.000614,0.000614,0.000614
37,968.725,1.18326,1.13577,0.90077,0.57927,0.53924,0.57437,0.05779,0.24275,1.02349,1.06843,0.87708,0.0005744,0.0005744,0.0005744
38,995.771,1.25282,1.16131,0.86044,0.58521,0.6087,0.60905,0.07024,0.25839,1.00527,0.80613,0.86435,0.0005348,0.0005348,0.0005348
39,1021.76,1.36391,1.37321,1.11771,0.67635,0.52174,0.59169,0.08752,0.24658,0.98864,0.79147,0.84811,0.0004952,0.0004952,0.0004952
40,1046.62,0.93786,0.87405,0.74117,0.70964,0.63805,0.69302,0.11689,0.28702,0.96923,0.70598,0.83734,0.0004556,0.0004556,0.0004556
41,1121.12,0.89984,0.88831,0.73817,0.65758,0.78261,0.71287,0.1568,0.31231,0.97492,0.74073,0.84118,0.000416,0.000416,0.000416
42,1149.56,0.83566,0.75889,0.68476,0.64151,0.52174,0.69136,0.22082,0.32692,0.96599,0.80995,0.83831,0.0003764,0.0003764,0.0003764
43,1177.13,0.6982,0.75168,0.60672,0.91682,0.56522,0.7096,0.15635,0.33025,0.93901,0.75165,0.82666,0.0003368,0.0003368,0.0003368
44,1201.56,0.80661,0.71056,0.65386,0.75155,0.56522,0.70458,0.24272,0.34632,0.93069,0.73379,0.8172,0.0002972,0.0002972,0.0002972
45,1227.03,0.86305,0.78524,0.70214,0.73752,0.61095,0.75275,0.21722,0.36301,0.91527,0.77648,0.81673,0.0002576,0.0002576,0.0002576
46,1253.24,0.8073,0.71441,0.74305,0.7546,0.66899,0.76142,0.24118,0.35139,0.93692,0.69659,0.82075,0.000218,0.000218,0.000218
47,1277.84,0.71824,0.5724,0.63582,0.80946,0.6087,0.74824,0.26183,0.35708,0.90715,0.6729,0.80659,0.0001784,0.0001784,0.0001784
48,1303.29,0.93005,0.70317,0.80472,0.82713,0.6087,0.75691,0.20569,0.34875,0.90004,0.65758,0.80589,0.0001388,0.0001388,0.0001388
49,1326.87,0.79067,0.61724,0.74468,0.85079,0.56522,0.74155,0.21413,0.33833,0.88971,0.64914,0.79914,9.92e-05,9.92e-05,9.92e-05
50,1354.25,0.68571,0.54197,0.60641,0.63568,0.69565,0.75175,0.22789,0.35107,0.87842,0.62754,0.79385,5.96e-05,5.96e-05,5.96e-05
1,27.4691,1.2813,12.1696,0.88397,0,0,0,0,0,nan,nan,nan,0.000654321,0.000654321,0.000654321
2,61.5417,1.17664,10.7068,0.86903,0.00392,0.04348,0.00162,0.00013,0.0005,1.38203,97.4033,1.20217,0.00129483,0.00129483,0.00129483
3,108.815,1.65196,6.59881,1.24304,0.00392,0.04348,0.00162,0.00013,0.0005,nan,nan,nan,0.00190894,0.00190894,0.00190894
4,159.211,1.48668,3.34745,1.02464,0.00392,0.04348,0.00162,0.00013,0.0005,nan,nan,nan,0.0018812,0.0018812,0.0018812
5,208.638,1.65937,8.17698,1.30066,0.00392,0.04348,0.00162,0.00013,0.0005,nan,nan,nan,0.0018416,0.0018416,0.0018416
6,258.288,1.92116,76.5631,1.39856,0.00011,0.13043,6e-05,0,1e-05,2.61371,inf,5.24236,0.001802,0.001802,0.001802
7,307.497,1.33863,81.5747,0.93975,0.00343,0.04348,0.00049,0,7e-05,2.03534,139.5,1.55816,0.0017624,0.0017624,0.0017624
8,357.141,2.00097,26.4834,1.46537,0.00343,0.04348,0.00049,0,7e-05,2.84967,inf,22.4716,0.0017228,0.0017228,0.0017228
9,407.362,1.63764,2.68148,1.17351,0.00343,0.04348,0.00049,0,7e-05,nan,nan,nan,0.0016832,0.0016832,0.0016832
10,456.069,1.77427,2.98197,1.33541,0.00343,0.04348,0.00049,0,7e-05,1.71611,2.521,1.42304,0.0016436,0.0016436,0.0016436
11,503.868,1.79082,2.58276,1.18515,0.00343,0.04348,0.00049,0,7e-05,1.59631,3.09585,2.27202,0.001604,0.001604,0.001604
12,551.655,1.57441,3.25345,1.14022,0.00343,0.04348,0.00049,0,7e-05,0.05846,0.56532,0.06793,0.0015644,0.0015644,0.0015644
13,600.435,1.60841,2.59229,1.07491,0.0006,0.26087,0.00187,0,0.00042,1.36986,2.74671,1.64086,0.0015248,0.0015248,0.0015248
14,650.359,1.58198,2.48165,1.13667,0.00379,0.56522,0.01109,0.00119,0.00316,1.30931,2.01635,1.01803,0.0014852,0.0014852,0.0014852
15,699.295,1.5777,2.04758,1.08656,0.00071,0.3913,0.0668,0.01803,0.03586,1.17709,3.14559,0.96997,0.0014456,0.0014456,0.0014456
16,747.545,1.53353,2.00232,1.16694,0.00077,0.30435,0.00705,0.00245,0.00283,1.3922,3.47847,1.04911,0.001406,0.001406,0.001406
17,795.652,1.32313,1.80436,0.97716,0.13286,0.21739,0.05145,5e-05,0.01445,1.59268,63.2071,1.83552,0.0013664,0.0013664,0.0013664
18,834.166,1.53044,2.23337,1.09356,0.00441,0.82609,0.06986,0.0215,0.02959,1.11201,1.63312,0.94212,0.0013268,0.0013268,0.0013268
19,882.977,1.38765,1.98449,0.99355,0.0104,0.73913,0.02972,0.00232,0.0079,1.18182,1.75725,0.99943,0.0012872,0.0012872,0.0012872
20,931.204,1.04085,1.47024,0.69135,0.01467,0.73913,0.07742,0.00401,0.02053,1.20487,2.59545,1.02407,0.0012476,0.0012476,0.0012476
21,979.431,1.1829,1.58359,0.85907,0.01322,0.6087,0.02587,0.00538,0.01077,1.2927,1.8514,1.0385,0.001208,0.001208,0.001208
22,1026.59,0.92565,1.34286,0.69083,0.00331,0.73913,0.08424,0.00274,0.02596,1.58855,1.8606,1.41773,0.0011684,0.0011684,0.0011684
23,1076.07,1.29835,1.67103,0.85135,0.00662,0.73913,0.11846,0.01235,0.04586,1.21204,2.61679,1.09112,0.0011288,0.0011288,0.0011288
24,1125.24,1.09766,1.59813,0.80938,0.12038,0.26087,0.13241,0.03606,0.0545,1.09681,4.40467,1.01235,0.0010892,0.0010892,0.0010892
25,1174.5,1.44172,1.6676,1.05973,0.16383,0.3493,0.17196,0.06045,0.07638,1.09588,3.65959,1.00411,0.0010496,0.0010496,0.0010496
1,37.0063,1.25498,7.10661,0.81677,0,0,0,0,0,nan,nan,nan,0.000660494,0.000660494,0.000660494
2,73.152,0.86759,4.23873,0.57588,0,0,0,0,0,nan,nan,nan,0.00130088,0.00130088,0.00130088
3,109.074,0.98985,1.8641,0.7486,0,0,0,0,0,nan,nan,nan,0.00191487,0.00191487,0.00191487
4,145.656,1.49957,2.22773,0.99902,0,0,0,0,0,1.1958,3593.19,5.79492,0.0018812,0.0018812,0.0018812
5,182.278,1.15599,1.96339,0.80809,0.00801,0.57143,0.01262,0.0046,0.00486,1.07732,22.4395,1.35617,0.0018416,0.0018416,0.0018416
6,218.781,1.17712,1.59561,0.80654,0.38227,0.28571,0.234,0.00607,0.04861,1.27676,17.8768,1.47496,0.001802,0.001802,0.001802
7,254.955,1.10646,1.27705,0.79117,0.28214,0.85714,0.85595,0.0003,0.2119,1.05442,120.692,0.8716,0.0017624,0.0017624,0.0017624
8,291.494,1.1863,1.15742,0.80261,0.37847,0.57143,0.50653,0.2851,0.22503,1.06239,13.1521,0.913,0.0017228,0.0017228,0.0017228
9,327.031,0.95635,0.99691,0.6561,0.4198,0.57143,0.47873,0.28517,0.22341,1.09128,2.42947,0.85799,0.0016832,0.0016832,0.0016832
10,363.029,1.06148,1.15853,0.79787,0.53363,0.57143,0.64837,0.40512,0.36612,0.89979,4.18954,0.73041,0.0016436,0.0016436,0.0016436
11,398.809,0.87614,0.84137,0.62305,0.9047,0.57143,0.68615,0.18994,0.26439,0.86023,1.24895,0.70886,0.001604,0.001604,0.001604
12,436.45,1.06535,0.88987,0.7403,0.72799,0.57143,0.69828,0.21607,0.2754,0.89154,0.82829,0.66238,0.0015644,0.0015644,0.0015644
13,475.146,0.9649,0.76213,0.64196,0.46584,0.71429,0.58749,0.06853,0.22971,0.89503,0.7066,0.64665,0.0015248,0.0015248,0.0015248
14,513.325,0.86669,0.7117,0.64244,0.7055,0.68792,0.75546,0.19322,0.36243,0.74017,0.52915,0.58275,0.0014852,0.0014852,0.0014852
15,549.407,0.86358,0.75956,0.57072,0.70741,0.69365,0.71612,0.20949,0.25519,0.78761,0.78733,0.60619,0.0014456,0.0014456,0.0014456
16,586.946,1.30689,0.98843,0.90649,0.7642,0.42857,0.66167,0.12141,0.19492,0.79107,1.12434,0.63075,0.001406,0.001406,0.001406
17,623.597,0.75794,0.67178,0.56604,0.62736,0.96464,0.84909,0.42125,0.37641,0.74831,0.56335,0.63584,0.0013664,0.0013664,0.0013664
18,661.211,1.04329,0.94344,0.71953,0.69061,0.85714,0.825,0.12646,0.35388,0.72283,0.60483,0.58523,0.0013268,0.0013268,0.0013268
19,698.363,0.85836,0.69605,0.61181,0.80098,0.85714,0.83678,0.15118,0.33446,0.73246,1.75839,0.62172,0.0012872,0.0012872,0.0012872
20,735.105,0.87464,0.66567,0.60292,0.89059,0.71429,0.86598,0.08244,0.26018,0.77919,1.99449,0.63567,0.0012476,0.0012476,0.0012476
21,772.583,1.0288,0.90403,0.75245,0.85475,0.84279,0.8488,0.08452,0.28059,0.84523,0.7327,0.68424,0.001208,0.001208,0.001208
22,809.87,0.83324,0.6071,0.58771,0.79951,0.85714,0.92409,0.08846,0.29944,0.90014,0.49498,0.65339,0.0011684,0.0011684,0.0011684
23,845.027,1.04911,0.77085,0.75934,0.65667,1,0.871,0.18603,0.34593,0.82986,0.63518,0.60396,0.0011288,0.0011288,0.0011288
24,882.062,0.82061,0.62859,0.60563,0.87972,0.85714,0.93038,0.19178,0.36121,0.77317,0.41699,0.58875,0.0010892,0.0010892,0.0010892
25,917.965,0.62967,0.43788,0.49631,0.73575,0.85714,0.837,0.32109,0.41257,0.77477,0.39816,0.58225,0.0010496,0.0010496,0.0010496
26,954.579,0.74388,0.53041,0.56182,0.97228,0.71429,0.918,0.25184,0.41893,0.85453,0.41408,0.65198,0.00101,0.00101,0.00101
27,991.705,0.74508,0.46921,0.5489,0.96464,0.71429,0.911,0.16494,0.32943,0.80237,0.59687,0.5929,0.0009704,0.0009704,0.0009704
28,1028.47,0.73236,0.56838,0.56365,0.94779,1,0.995,0.22373,0.3871,0.84117,0.43161,0.6456,0.0009308,0.0009308,0.0009308
29,1065.97,0.84166,0.52829,0.59426,0.77255,0.85714,0.92389,0.32071,0.35902,0.92536,0.38605,0.68108,0.0008912,0.0008912,0.0008912
30,1103.27,0.87483,0.67522,0.60572,1,0.83152,0.93038,0.40335,0.44691,0.78609,0.39522,0.58917,0.0008516,0.0008516,0.0008516
31,1140.14,0.88778,0.67626,0.61801,0.86347,0.71429,0.905,0.38979,0.49412,0.73244,0.3953,0.55831,0.000812,0.000812,0.000812
32,1176.79,0.66355,0.49082,0.47871,0.96627,1,0.995,0.30394,0.48411,0.68671,0.38416,0.55393,0.0007724,0.0007724,0.0007724
33,1214.02,0.75426,0.56954,0.55796,0.8724,0.97917,0.9775,0.16222,0.42596,0.74013,0.4128,0.54453,0.0007328,0.0007328,0.0007328
34,1252.82,0.93844,0.67683,0.66146,0.99043,0.85714,0.96389,0.57368,0.56654,0.72696,0.42235,0.53878,0.0006932,0.0006932,0.0006932
35,1293.39,0.77513,0.54144,0.60696,0.95468,0.57143,0.76406,0.57035,0.47073,0.63767,0.47125,0.49112,0.0006536,0.0006536,0.0006536
36,1331.78,0.61851,0.48412,0.46494,0.84353,0.85714,0.96389,0.72879,0.55211,0.62122,0.39368,0.49155,0.000614,0.000614,0.000614
37,1370.43,0.81909,0.55537,0.60354,0.99767,0.85714,0.94409,0.53698,0.5276,0.62621,0.46796,0.48876,0.0005744,0.0005744,0.0005744
38,1409.47,0.77116,0.55932,0.58706,0.94669,0.85714,0.93667,0.53225,0.49084,0.62849,0.51821,0.50029,0.0005348,0.0005348,0.0005348
39,1452.82,0.6359,0.41727,0.50713,0.88939,0.71429,0.8353,0.28916,0.41508,0.68045,0.46884,0.5168,0.0004952,0.0004952,0.0004952
40,1492.37,0.78957,0.56901,0.57959,0.85397,0.85714,0.933,0.40167,0.48623,0.59267,0.43759,0.47546,0.0004556,0.0004556,0.0004556
41,1552.74,0.4741,0.30247,0.41497,0.86796,1,0.96,0.35624,0.48254,0.53357,0.45961,0.45036,0.000416,0.000416,0.000416
42,1591.5,0.5677,0.36741,0.47462,0.83877,1,0.96,0.4831,0.55054,0.48985,0.34459,0.43015,0.0003764,0.0003764,0.0003764
43,1630.78,0.49266,0.28103,0.43404,0.95682,1,0.995,0.50882,0.57224,0.50027,0.36679,0.43565,0.0003368,0.0003368,0.0003368
44,1670.22,0.49762,0.31401,0.42151,1,0.80808,0.96389,0.61796,0.53605,0.49175,0.42156,0.43426,0.0002972,0.0002972,0.0002972
45,1710.18,0.54913,0.30567,0.47574,0.99094,0.85714,0.953,0.66961,0.59656,0.50109,0.39771,0.43855,0.0002576,0.0002576,0.0002576
46,1749.96,0.50602,0.31589,0.44521,0.95248,0.85714,0.94409,0.60965,0.54665,0.53599,0.42748,0.45724,0.000218,0.000218,0.000218
47,1789.49,0.48442,0.30457,0.42817,0.92954,0.85714,0.925,0.77333,0.56726,0.54054,0.43125,0.46239,0.0001784,0.0001784,0.0001784
48,1829.97,0.45712,0.31091,0.41762,0.95413,0.85714,0.925,0.54838,0.55684,0.53788,0.41893,0.45372,0.0001388,0.0001388,0.0001388
49,1869.39,0.4722,0.32827,0.44073,1,0.82741,0.925,0.5676,0.55521,0.53526,0.43123,0.4518,9.92e-05,9.92e-05,9.92e-05
50,1910.06,0.44647,0.28681,0.39741,1,0.83262,0.93667,0.57756,0.5732,0.52237,0.42766,0.44987,5.96e-05,5.96e-05,5.96e-05
